zone,date,affected_hexes,affected_km2,high,medium
Eastern Mediterranean & Levant,2023-11-06,117.0,206372.0,79.0,37.0
Eastern Mediterranean & Levant,2023-11-13,113.0,200302.0,77.0,36.0
Eastern Mediterranean & Levant,2023-11-20,101.0,178299.0,74.0,27.0
Eastern Mediterranean & Levant,2023-11-27,117.0,207889.0,87.0,30.0
Eastern Mediterranean & Levant,2023-12-04,115.0,203337.0,88.0,27.0
Eastern Mediterranean & Levant,2023-12-11,115.0,204096.0,87.0,28.0
Eastern Mediterranean & Levant,2023-12-18,108.0,191703.0,85.0,23.0
Eastern Mediterranean & Levant,2023-12-25,98.0,172735.0,75.0,23.0
Eastern Mediterranean & Levant,2024-01-01,110.0,193980.0,82.0,27.0
Eastern Mediterranean & Levant,2024-01-08,128.0,227363.0,92.0,36.0
Eastern Mediterranean & Levant,2024-01-15,117.0,207636.0,86.0,32.0
Eastern Mediterranean & Levant,2024-01-22,115.0,203084.0,80.0,35.0
Eastern Mediterranean & Levant,2024-01-29,112.0,198279.0,81.0,31.0
Eastern Mediterranean & Levant,2024-02-05,119.0,210376.0,80.0,39.0
Eastern Mediterranean & Levant,2024-02-12,123.0,216994.0,85.0,38.0
Eastern Mediterranean & Levant,2024-02-19,108.0,190945.0,81.0,26.0
Eastern Mediterranean & Levant,2024-02-26,113.0,199796.0,86.0,27.0
Eastern Mediterranean & Levant,2024-03-04,117.0,206878.0,89.0,28.0
Eastern Mediterranean & Levant,2024-03-11,126.0,222305.0,91.0,35.0
Eastern Mediterranean & Levant,2024-03-18,130.0,230904.0,94.0,36.0
Eastern Mediterranean & Levant,2024-03-25,132.0,234445.0,94.0,39.0
Eastern Mediterranean & Levant,2024-04-01,118.0,208395.0,84.0,34.0
Eastern Mediterranean & Levant,2024-04-08,179.0,316892.0,138.0,41.0
Eastern Mediterranean & Levant,2024-04-15,196.0,346735.0,144.0,52.0
Eastern Mediterranean & Levant,2024-04-22,182.0,322203.0,127.0,55.0
Eastern Mediterranean & Levant,2024-04-29,182.0,322203.0,116.0,66.0
Eastern Mediterranean & Levant,2024-05-06,170.0,301718.0,110.0,60.0
Eastern Mediterranean & Levant,2024-05-13,176.0,311328.0,119.0,56.0
Eastern Mediterranean & Levant,2024-05-20,194.0,343447.0,139.0,55.0
Eastern Mediterranean & Levant,2024-05-27,173.0,306017.0,117.0,56.0
Eastern Mediterranean & Levant,2024-06-03,184.0,326503.0,130.0,55.0
Eastern Mediterranean & Levant,2024-06-10,179.0,316386.0,126.0,53.0
Eastern Mediterranean & Levant,2024-06-17,189.0,334596.0,134.0,55.0
Eastern Mediterranean & Levant,2024-06-24,191.0,337378.0,136.0,54.0
Eastern Mediterranean & Levant,2024-07-01,188.0,332067.0,135.0,53.0
Eastern Mediterranean & Levant,2024-07-08,196.0,346735.0,139.0,57.0
Eastern Mediterranean & Levant,2024-07-15,193.0,340969.0,138.0,55.0
Eastern Mediterranean & Levant,2024-07-22,210.0,372532.0,154.0,57.0
Eastern Mediterranean & Levant,2024-07-29,209.0,370508.0,159.0,50.0
Eastern Mediterranean & Levant,2024-08-05,214.0,378349.0,160.0,53.0
Eastern Mediterranean & Levant,2024-08-12,217.0,384418.0,157.0,60.0
Eastern Mediterranean & Levant,2024-08-19,194.0,343953.0,140.0,54.0
Eastern Mediterranean & Levant,2024-08-26,200.0,353817.0,143.0,57.0
Eastern Mediterranean & Levant,2024-09-02,183.0,323468.0,126.0,57.0
Eastern Mediterranean & Levant,2024-09-09,166.0,293625.0,117.0,49.0
Eastern Mediterranean & Levant,2024-09-16,168.0,296913.0,112.0,56.0
Eastern Mediterranean & Levant,2024-09-23,166.0,294131.0,108.0,58.0
Eastern Mediterranean & Levant,2024-09-30,155.0,274910.0,111.0,45.0
Eastern Mediterranean & Levant,2024-10-07,151.0,268081.0,107.0,45.0
Eastern Mediterranean & Levant,2024-10-14,146.0,258977.0,100.0,46.0
Eastern Mediterranean & Levant,2024-10-21,124.0,220282.0,81.0,44.0
Eastern Mediterranean & Levant,2024-10-28,124.0,219523.0,84.0,40.0
Eastern Mediterranean & Levant,2024-11-04,140.0,247849.0,98.0,42.0
Eastern Mediterranean & Levant,2024-11-11,120.0,212442.0,76.0,44.0
Eastern Mediterranean & Levant,2024-11-18,121.0,214718.0,89.0,32.0
Eastern Mediterranean & Levant,2024-11-25,119.0,211430.0,82.0,37.0
Eastern Mediterranean & Levant,2024-12-02,107.0,189174.0,69.0,38.0
Eastern Mediterranean & Levant,2024-12-09,79.0,139352.0,46.0,33.0
Eastern Mediterranean & Levant,2024-12-16,60.0,105968.0,21.0,38.0
Eastern Mediterranean & Levant,2024-12-23,71.0,126453.0,33.0,39.0
Eastern Mediterranean & Levant,2024-12-30,73.0,129741.0,37.0,37.0
Eastern Mediterranean & Levant,2025-01-06,76.0,134799.0,42.0,34.0
Eastern Mediterranean & Levant,2025-01-13,69.0,122154.0,36.0,33.0
Eastern Mediterranean & Levant,2025-01-20,90.0,159331.0,46.0,44.0
Eastern Mediterranean & Levant,2025-01-27,69.0,121901.0,33.0,36.0
Eastern Mediterranean & Levant,2025-02-03,29.0,50581.0,7.0,22.0
Eastern Mediterranean & Levant,2025-02-10,22.0,38695.0,4.0,18.0
Eastern Mediterranean & Levant,2025-02-17,22.0,38442.0,4.0,18.0
Eastern Mediterranean & Levant,2025-02-24,19.0,33890.0,2.0,17.0
Eastern Mediterranean & Levant,2025-03-03,23.0,40718.0,4.0,19.0
Eastern Mediterranean & Levant,2025-03-10,30.0,52352.0,6.0,23.0
Eastern Mediterranean & Levant,2025-03-17,28.0,49570.0,7.0,21.0
Eastern Mediterranean & Levant,2025-03-24,53.0,93576.0,22.0,30.0
Eastern Mediterranean & Levant,2025-03-31,65.0,115831.0,38.0,28.0
Eastern Mediterranean & Levant,2025-04-07,67.0,119119.0,30.0,37.0
Eastern Mediterranean & Levant,2025-04-14,90.0,159837.0,54.0,36.0
Eastern Mediterranean & Levant,2025-04-21,85.0,150732.0,52.0,34.0
Eastern Mediterranean & Levant,2025-04-28,89.0,156802.0,56.0,32.0
Eastern Mediterranean & Levant,2025-05-05,89.0,157561.0,55.0,34.0
Eastern Mediterranean & Levant,2025-05-12,95.0,168942.0,66.0,30.0
Eastern Mediterranean & Levant,2025-05-19,97.0,171724.0,64.0,33.0
Eastern Mediterranean & Levant,2025-05-26,104.0,184622.0,67.0,37.0
Eastern Mediterranean & Levant,2025-06-02,97.0,172482.0,58.0,40.0
Eastern Mediterranean & Levant,2025-06-09,75.0,132523.0,42.0,33.0
Eastern Mediterranean & Levant,2025-06-16,116.0,205613.0,63.0,53.0
Eastern Mediterranean & Levant,2025-06-23,144.0,255183.0,83.0,61.0
Eastern Mediterranean & Levant,2025-06-30,58.0,102680.0,24.0,34.0
Eastern Mediterranean & Levant,2025-07-07,55.0,97116.0,20.0,35.0
Eastern Mediterranean & Levant,2025-07-14,40.0,70561.0,12.0,28.0
Eastern Mediterranean & Levant,2025-07-21,52.0,92817.0,19.0,34.0
Eastern Mediterranean & Levant,2025-07-28,51.0,90794.0,15.0,37.0
Eastern Mediterranean & Levant,2025-08-04,80.0,142134.0,29.0,51.0
Eastern Mediterranean & Levant,2025-08-11,52.0,91552.0,14.0,38.0
Eastern Mediterranean & Levant,2025-08-18,73.0,128477.0,25.0,48.0
Eastern Mediterranean & Levant,2025-08-25,36.0,62974.0,6.0,29.0
Eastern Mediterranean & Levant,2025-09-01,37.0,66009.0,7.0,30.0
Eastern Mediterranean & Levant,2025-09-08,62.0,109256.0,25.0,37.0
Eastern Mediterranean & Levant,2025-09-15,77.0,136317.0,33.0,44.0
Eastern Mediterranean & Levant,2025-09-22,49.0,87506.0,20.0,29.0
Eastern Mediterranean & Levant,2025-09-29,63.0,111279.0,28.0,35.0
Eastern Mediterranean & Levant,2025-10-06,59.0,104703.0,24.0,35.0
Eastern Mediterranean & Levant,2025-10-13,55.0,97622.0,21.0,35.0
Eastern Mediterranean & Levant,2025-10-20,33.0,58169.0,9.0,24.0
Eastern Mediterranean & Levant,2025-10-27,42.0,74860.0,17.0,25.0
Eastern Mediterranean & Levant,2025-11-03,49.0,86241.0,22.0,26.0
Eastern Mediterranean & Levant,2025-11-10,15.0,27061.0,1.0,14.0
Eastern Mediterranean & Levant,2025-11-17,35.0,61456.0,6.0,29.0
Eastern Mediterranean & Levant,2025-11-24,48.0,85735.0,19.0,30.0
Eastern Mediterranean & Levant,2025-12-01,66.0,117602.0,26.0,40.0
Eastern Mediterranean & Levant,2025-12-08,42.0,73849.0,13.0,29.0
Eastern Mediterranean & Levant,2025-12-15,50.0,89276.0,20.0,30.0
Eastern Mediterranean & Levant,2025-12-22,53.0,93828.0,17.0,36.0
Eastern Mediterranean & Levant,2025-12-29,34.0,59939.0,11.0,23.0
Eastern Mediterranean & Levant,2026-01-05,35.0,61203.0,10.0,24.0
Eastern Mediterranean & Levant,2026-01-12,26.0,45523.0,7.0,19.0
Eastern Mediterranean & Levant,2026-01-19,24.0,43247.0,7.0,18.0
Eastern Mediterranean & Levant,2026-01-26,36.0,63227.0,11.0,24.0
Eastern Mediterranean & Levant,2026-02-02,34.0,59939.0,10.0,23.0
Eastern Mediterranean & Levant,2026-02-09,44.0,78401.0,16.0,29.0
Eastern Mediterranean & Levant,2026-02-16,27.0,47294.0,4.0,23.0
Eastern Mediterranean & Levant,2026-02-23,22.0,38695.0,3.0,18.0
Eastern Mediterranean & Levant,2026-03-02,35.0,62468.0,21.0,14.0
Eastern Mediterranean & Levant,2026-03-09,136.0,241020.0,84.0,52.0
Eastern Mediterranean & Levant,2026-03-16,157.0,277186.0,99.0,58.0
Eastern Mediterranean & Levant,2026-03-23,149.0,263529.0,93.0,55.0
Eastern Mediterranean & Levant,2026-03-30,149.0,263276.0,91.0,58.0
Eastern Mediterranean & Levant,2026-04-06,158.0,279968.0,105.0,53.0
Eastern Mediterranean & Levant,2026-04-13,152.0,269346.0,80.0,72.0
Eastern Mediterranean & Levant,2026-04-20,178.0,314237.0,84.0,93.0
Eastern Mediterranean & Levant,2026-04-27,172.0,303994.0,82.0,90.0
Eastern Mediterranean & Levant,2026-05-04,170.0,301402.0,65.0,105.0
Middle East (Iraq/Iran),2022-02-14,4.0,7081.0,4.0,0.0
Middle East (Iraq/Iran),2022-02-21,19.0,33890.0,14.0,5.0
Middle East (Iraq/Iran),2022-02-28,17.0,30855.0,12.0,6.0
Middle East (Iraq/Iran),2022-03-07,14.0,25544.0,10.0,5.0
Middle East (Iraq/Iran),2022-03-14,13.0,22762.0,9.0,4.0
Middle East (Iraq/Iran),2022-03-21,19.0,33637.0,12.0,7.0
Middle East (Iraq/Iran),2022-03-28,17.0,29337.0,12.0,5.0
Middle East (Iraq/Iran),2022-04-04,17.0,30349.0,11.0,6.0
Middle East (Iraq/Iran),2022-04-11,15.0,26555.0,10.0,5.0
Middle East (Iraq/Iran),2022-04-18,10.0,18589.0,8.0,2.0
Middle East (Iraq/Iran),2022-04-25,11.0,19980.0,8.0,3.0
Middle East (Iraq/Iran),2022-05-02,13.0,23015.0,10.0,3.0
Middle East (Iraq/Iran),2022-05-09,17.0,30349.0,11.0,6.0
Middle East (Iraq/Iran),2022-05-16,16.0,27820.0,10.0,6.0
Middle East (Iraq/Iran),2022-05-23,19.0,33384.0,12.0,7.0
Middle East (Iraq/Iran),2022-05-30,11.0,18715.0,8.0,3.0
Middle East (Iraq/Iran),2022-06-06,13.0,22509.0,8.0,4.0
Middle East (Iraq/Iran),2022-06-13,15.0,26201.0,8.0,7.0
Middle East (Iraq/Iran),2022-06-20,19.0,33384.0,11.0,8.0
Middle East (Iraq/Iran),2022-06-27,18.0,31108.0,11.0,6.0
Middle East (Iraq/Iran),2022-07-04,16.0,29084.0,9.0,8.0
Middle East (Iraq/Iran),2022-07-11,20.0,35407.0,11.0,9.0
Middle East (Iraq/Iran),2022-07-18,25.0,44765.0,15.0,11.0
Middle East (Iraq/Iran),2022-07-25,20.0,34901.0,11.0,8.0
Middle East (Iraq/Iran),2022-08-01,16.0,28073.0,10.0,6.0
Middle East (Iraq/Iran),2022-08-08,12.0,21750.0,9.0,3.0
Middle East (Iraq/Iran),2022-08-15,11.0,19980.0,8.0,3.0
Middle East (Iraq/Iran),2022-08-22,13.0,23773.0,10.0,4.0
Middle East (Iraq/Iran),2022-08-29,8.0,14871.0,6.0,2.0
Middle East (Iraq/Iran),2022-09-05,10.0,18412.0,7.0,3.0
Middle East (Iraq/Iran),2022-09-12,15.0,26302.0,10.0,5.0
Middle East (Iraq/Iran),2022-09-19,18.0,31866.0,13.0,5.0
Middle East (Iraq/Iran),2022-09-26,18.0,32372.0,12.0,6.0
Middle East (Iraq/Iran),2022-10-03,15.0,27314.0,11.0,4.0
Middle East (Iraq/Iran),2022-10-10,14.0,25038.0,10.0,4.0
Middle East (Iraq/Iran),2022-10-17,15.0,25847.0,10.0,4.0
Middle East (Iraq/Iran),2022-10-24,14.0,25038.0,11.0,4.0
Middle East (Iraq/Iran),2022-10-31,16.0,28326.0,11.0,5.0
Middle East (Iraq/Iran),2022-11-07,15.0,27314.0,11.0,4.0
Middle East (Iraq/Iran),2022-11-14,15.0,26049.0,10.0,4.0
Middle East (Iraq/Iran),2022-11-21,15.0,27314.0,11.0,4.0
Middle East (Iraq/Iran),2022-11-28,15.0,27314.0,11.0,5.0
Middle East (Iraq/Iran),2022-12-05,16.0,29084.0,11.0,5.0
Middle East (Iraq/Iran),2022-12-12,17.0,30096.0,10.0,7.0
Middle East (Iraq/Iran),2022-12-19,14.0,25544.0,10.0,4.0
Middle East (Iraq/Iran),2022-12-26,13.0,23773.0,10.0,3.0
Middle East (Iraq/Iran),2023-01-02,14.0,24195.0,11.0,3.0
Middle East (Iraq/Iran),2023-01-09,15.0,26260.0,11.0,4.0
Middle East (Iraq/Iran),2023-01-16,8.0,14871.0,7.0,2.0
Middle East (Iraq/Iran),2023-01-23,9.0,15933.0,7.0,2.0
Middle East (Iraq/Iran),2023-01-30,10.0,18589.0,8.0,3.0
Middle East (Iraq/Iran),2023-02-06,1.0,1770.0,0.0,1.0
Middle East (Iraq/Iran),2023-02-13,2.0,2656.0,0.0,1.0
Middle East (Iraq/Iran),2023-02-20,,,,
Middle East (Iraq/Iran),2023-02-27,2.0,2656.0,0.0,2.0
Middle East (Iraq/Iran),2023-03-06,2.0,4426.0,0.0,2.0
Middle East (Iraq/Iran),2023-03-13,1.0,1770.0,0.0,1.0
Middle East (Iraq/Iran),2023-03-20,2.0,2951.0,1.0,1.0
Middle East (Iraq/Iran),2023-03-27,11.0,19179.0,8.0,3.0
Middle East (Iraq/Iran),2023-04-03,12.0,20485.0,9.0,2.0
Middle East (Iraq/Iran),2023-04-10,12.0,20485.0,9.0,3.0
Middle East (Iraq/Iran),2023-04-17,13.0,23773.0,9.0,4.0
Middle East (Iraq/Iran),2023-04-24,5.0,8409.0,4.0,1.0
Middle East (Iraq/Iran),2023-05-01,9.0,15933.0,7.0,2.0
Middle East (Iraq/Iran),2023-05-08,1.0,1770.0,0.0,0.0
Middle East (Iraq/Iran),2023-05-15,1.0,1770.0,1.0,0.0
Middle East (Iraq/Iran),2023-05-22,1.0,1770.0,0.0,1.0
Middle East (Iraq/Iran),2023-05-29,2.0,3541.0,0.0,2.0
Middle East (Iraq/Iran),2023-06-05,7.0,12392.0,5.0,2.0
Middle East (Iraq/Iran),2023-06-12,1.0,1770.0,0.0,1.0
Middle East (Iraq/Iran),2023-06-19,1.0,1770.0,1.0,0.0
Middle East (Iraq/Iran),2023-06-26,11.0,19916.0,7.0,4.0
Middle East (Iraq/Iran),2023-07-03,20.0,34901.0,11.0,9.0
Middle East (Iraq/Iran),2023-07-10,13.0,23605.0,9.0,5.0
Middle East (Iraq/Iran),2023-07-17,1.0,1770.0,0.0,1.0
Middle East (Iraq/Iran),2023-07-24,14.0,25375.0,9.0,5.0
Middle East (Iraq/Iran),2023-07-31,6.0,11330.0,5.0,1.0
Middle East (Iraq/Iran),2023-08-07,7.0,11950.0,5.0,2.0
Middle East (Iraq/Iran),2023-08-14,16.0,27820.0,10.0,6.0
Middle East (Iraq/Iran),2023-08-21,17.0,29590.0,11.0,6.0
Middle East (Iraq/Iran),2023-08-28,17.0,30602.0,11.0,7.0
Middle East (Iraq/Iran),2023-09-04,24.0,41983.0,13.0,11.0
Middle East (Iraq/Iran),2023-09-11,7.0,12392.0,5.0,2.0
Middle East (Iraq/Iran),2023-09-18,2.0,3895.0,1.0,1.0
Middle East (Iraq/Iran),2023-09-25,1.0,1770.0,0.0,0.0
Middle East (Iraq/Iran),2023-10-02,2.0,3035.0,1.0,0.0
Middle East (Iraq/Iran),2023-10-09,4.0,7081.0,2.0,2.0
Middle East (Iraq/Iran),2023-10-16,6.0,10116.0,3.0,2.0
Middle East (Iraq/Iran),2023-10-23,12.0,21244.0,8.0,4.0
Middle East (Iraq/Iran),2023-10-30,17.0,29337.0,11.0,6.0
Middle East (Iraq/Iran),2023-11-06,16.0,27820.0,11.0,4.0
Middle East (Iraq/Iran),2023-11-13,19.0,33890.0,11.0,8.0
Middle East (Iraq/Iran),2023-11-20,18.0,32625.0,10.0,8.0
Middle East (Iraq/Iran),2023-11-27,19.0,33131.0,10.0,9.0
Middle East (Iraq/Iran),2023-12-04,19.0,33131.0,10.0,9.0
Middle East (Iraq/Iran),2023-12-11,16.0,28326.0,9.0,7.0
Middle East (Iraq/Iran),2023-12-18,6.0,10116.0,4.0,2.0
Middle East (Iraq/Iran),2023-12-25,13.0,22762.0,8.0,5.0
Middle East (Iraq/Iran),2024-01-01,22.0,38442.0,13.0,9.0
Middle East (Iraq/Iran),2024-01-08,19.0,34142.0,11.0,8.0
Middle East (Iraq/Iran),2024-01-15,18.0,32119.0,9.0,9.0
Middle East (Iraq/Iran),2024-01-22,18.0,31866.0,10.0,8.0
Middle East (Iraq/Iran),2024-01-29,19.0,34227.0,11.0,9.0
Middle East (Iraq/Iran),2024-02-05,18.0,32161.0,10.0,8.0
Middle East (Iraq/Iran),2024-02-12,17.0,30602.0,11.0,6.0
Middle East (Iraq/Iran),2024-02-19,19.0,33890.0,11.0,8.0
Middle East (Iraq/Iran),2024-02-26,16.0,28326.0,11.0,5.0
Middle East (Iraq/Iran),2024-03-04,17.0,30855.0,11.0,6.0
Middle East (Iraq/Iran),2024-03-11,18.0,31866.0,11.0,7.0
Middle East (Iraq/Iran),2024-03-18,17.0,30096.0,11.0,6.0
Middle East (Iraq/Iran),2024-03-25,13.0,23015.0,9.0,4.0
Middle East (Iraq/Iran),2024-04-01,12.0,21497.0,10.0,2.0
Middle East (Iraq/Iran),2024-04-08,18.0,31276.0,10.0,8.0
Middle East (Iraq/Iran),2024-04-15,18.0,32119.0,11.0,7.0
Middle East (Iraq/Iran),2024-04-22,21.0,37936.0,13.0,9.0
Middle East (Iraq/Iran),2024-04-29,20.0,34901.0,11.0,9.0
Middle East (Iraq/Iran),2024-05-06,18.0,32372.0,12.0,6.0
Middle East (Iraq/Iran),2024-05-13,19.0,33890.0,13.0,6.0
Middle East (Iraq/Iran),2024-05-20,17.0,30855.0,11.0,6.0
Middle East (Iraq/Iran),2024-05-27,21.0,36419.0,13.0,7.0
Middle East (Iraq/Iran),2024-06-03,20.0,34901.0,12.0,8.0
Middle East (Iraq/Iran),2024-06-10,21.0,37177.0,13.0,8.0
Middle East (Iraq/Iran),2024-06-17,21.0,37177.0,13.0,8.0
Middle East (Iraq/Iran),2024-06-24,20.0,35913.0,13.0,8.0
Middle East (Iraq/Iran),2024-07-01,20.0,35660.0,13.0,7.0
Middle East (Iraq/Iran),2024-07-08,21.0,37177.0,12.0,9.0
Middle East (Iraq/Iran),2024-07-15,20.0,35761.0,12.0,8.0
Middle East (Iraq/Iran),2024-07-22,18.0,31613.0,11.0,7.0
Middle East (Iraq/Iran),2024-07-29,16.0,28073.0,11.0,5.0
Middle East (Iraq/Iran),2024-08-05,18.0,32119.0,12.0,7.0
Middle East (Iraq/Iran),2024-08-12,14.0,24279.0,10.0,4.0
Middle East (Iraq/Iran),2024-08-19,18.0,31360.0,11.0,7.0
Middle East (Iraq/Iran),2024-08-26,17.0,30855.0,10.0,7.0
Middle East (Iraq/Iran),2024-09-02,17.0,30349.0,11.0,6.0
Middle East (Iraq/Iran),2024-09-09,15.0,26808.0,9.0,6.0
Middle East (Iraq/Iran),2024-09-16,16.0,27567.0,9.0,7.0
Middle East (Iraq/Iran),2024-09-23,16.0,28073.0,10.0,6.0
Middle East (Iraq/Iran),2024-09-30,16.0,27567.0,10.0,5.0
Middle East (Iraq/Iran),2024-10-07,14.0,24785.0,9.0,5.0
Middle East (Iraq/Iran),2024-10-14,15.0,26049.0,9.0,5.0
Middle East (Iraq/Iran),2024-10-21,13.0,23267.0,9.0,4.0
Middle East (Iraq/Iran),2024-10-28,14.0,25291.0,9.0,5.0
Middle East (Iraq/Iran),2024-11-04,14.0,24785.0,10.0,4.0
Middle East (Iraq/Iran),2024-11-11,15.0,25796.0,7.0,7.0
Middle East (Iraq/Iran),2024-11-18,15.0,26808.0,10.0,5.0
Middle East (Iraq/Iran),2024-11-25,16.0,28578.0,9.0,7.0
Middle East (Iraq/Iran),2024-12-02,17.0,29843.0,10.0,7.0
Middle East (Iraq/Iran),2024-12-09,15.0,26555.0,9.0,6.0
Middle East (Iraq/Iran),2024-12-16,16.0,27567.0,10.0,6.0
Middle East (Iraq/Iran),2024-12-23,14.0,25291.0,10.0,4.0
Middle East (Iraq/Iran),2024-12-30,15.0,27314.0,11.0,4.0
Middle East (Iraq/Iran),2025-01-06,18.0,31360.0,11.0,6.0
Middle East (Iraq/Iran),2025-01-13,21.0,37885.0,10.0,11.0
Middle East (Iraq/Iran),2025-01-20,23.0,41477.0,11.0,12.0
Middle East (Iraq/Iran),2025-01-27,20.0,35154.0,11.0,9.0
Middle East (Iraq/Iran),2025-02-03,20.0,35913.0,10.0,11.0
Middle East (Iraq/Iran),2025-02-10,19.0,34395.0,8.0,11.0
Middle East (Iraq/Iran),2025-02-17,23.0,40465.0,10.0,13.0
Middle East (Iraq/Iran),2025-02-24,21.0,36924.0,11.0,10.0
Middle East (Iraq/Iran),2025-03-03,23.0,39959.0,11.0,12.0
Middle East (Iraq/Iran),2025-03-10,16.0,27567.0,11.0,5.0
Middle East (Iraq/Iran),2025-03-17,19.0,33890.0,12.0,8.0
Middle East (Iraq/Iran),2025-03-24,16.0,27567.0,8.0,7.0
Middle East (Iraq/Iran),2025-03-31,17.0,29843.0,10.0,7.0
Middle East (Iraq/Iran),2025-04-07,16.0,27820.0,10.0,6.0
Middle East (Iraq/Iran),2025-04-14,17.0,30602.0,11.0,6.0
Middle East (Iraq/Iran),2025-04-21,15.0,26049.0,11.0,4.0
Middle East (Iraq/Iran),2025-04-28,13.0,23015.0,7.0,6.0
Middle East (Iraq/Iran),2025-05-05,17.0,29337.0,9.0,8.0
Middle East (Iraq/Iran),2025-05-12,18.0,31108.0,9.0,8.0
Middle East (Iraq/Iran),2025-05-19,14.0,24195.0,1.0,13.0
Middle East (Iraq/Iran),2025-05-26,4.0,6196.0,0.0,4.0
Middle East (Iraq/Iran),2025-06-02,4.0,6373.0,0.0,4.0
Middle East (Iraq/Iran),2025-06-09,3.0,4721.0,0.0,3.0
Middle East (Iraq/Iran),2025-06-16,51.0,90583.0,14.0,38.0
Middle East (Iraq/Iran),2025-06-23,111.0,197014.0,50.0,61.0
Middle East (Iraq/Iran),2025-06-30,64.0,112544.0,22.0,41.0
Middle East (Iraq/Iran),2025-07-07,57.0,100151.0,23.0,34.0
Middle East (Iraq/Iran),2025-07-14,60.0,105968.0,32.0,28.0
Middle East (Iraq/Iran),2025-07-21,47.0,83712.0,27.0,20.0
Middle East (Iraq/Iran),2025-07-28,32.0,56061.0,15.0,16.0
Middle East (Iraq/Iran),2025-08-04,37.0,64997.0,19.0,17.0
Middle East (Iraq/Iran),2025-08-11,30.0,52858.0,12.0,18.0
Middle East (Iraq/Iran),2025-08-18,13.0,23015.0,5.0,8.0
Middle East (Iraq/Iran),2025-08-25,9.0,15174.0,3.0,6.0
Middle East (Iraq/Iran),2025-09-01,16.0,28831.0,5.0,12.0
Middle East (Iraq/Iran),2025-09-08,26.0,45523.0,9.0,17.0
Middle East (Iraq/Iran),2025-09-15,32.0,56651.0,10.0,22.0
Middle East (Iraq/Iran),2025-09-22,22.0,39453.0,5.0,17.0
Middle East (Iraq/Iran),2025-09-29,3.0,4552.0,1.0,1.0
Middle East (Iraq/Iran),2025-10-06,40.0,71573.0,14.0,26.0
Middle East (Iraq/Iran),2025-10-13,10.0,17703.0,3.0,7.0
Middle East (Iraq/Iran),2025-10-20,3.0,5311.0,1.0,2.0
Middle East (Iraq/Iran),2025-10-27,7.0,12140.0,3.0,4.0
Middle East (Iraq/Iran),2025-11-03,9.0,15680.0,3.0,6.0
Middle East (Iraq/Iran),2025-11-10,2.0,4426.0,1.0,1.0
Middle East (Iraq/Iran),2025-11-17,4.0,6323.0,1.0,2.0
Middle East (Iraq/Iran),2025-11-24,6.0,10622.0,2.0,4.0
Middle East (Iraq/Iran),2025-12-01,16.0,28831.0,4.0,12.0
Middle East (Iraq/Iran),2025-12-08,12.0,22129.0,2.0,10.0
Middle East (Iraq/Iran),2025-12-15,12.0,21539.0,3.0,9.0
Middle East (Iraq/Iran),2025-12-22,3.0,6070.0,0.0,3.0
Middle East (Iraq/Iran),2025-12-29,8.0,13573.0,2.0,6.0
Middle East (Iraq/Iran),2026-01-05,9.0,16186.0,1.0,8.0
